RelationshipType,Source,Target
SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-b7b00c3cf06266283674c05f30c3fb4d90098840
SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-a48ccd011f7d9664dc5fb7a4ef2dffd5d325c931
SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-ba672e29f438c1df0cba82fa224e17b77caf55cf
SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-94fd46f0ae7c27dc22b68f224b70d23604b93439
SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-3e06196ffdf77f9c8c7e282d0ea6fe42410d8f90
SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-d58ab66ecb608b3c9d016b648bd3cebd47fd61cb
SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-f01b380e841a5ab227424c86edd0ae8d07da47bb
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-proxy-ppc64lev1220-alpha3
SPDXRef-Package-k8sgcriokube-scheduler-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-f2251044c5920813c21a0e0946b0682d63198b88
SPDXRef-Package-k8sgcriokube-scheduler-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-4a59d6dd56b6f6eecd3a529d171292a6acaa8e4d
SPDXRef-Package-k8sgcriokube-scheduler-ppc64lev1220-alpha3,CONTAINS,SPDXRef-Package-9847d07a90227696022b7384e58fc885667a3381
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-scheduler-ppc64lev1220-alpha3
SPDXRef-Package-k8sgcriokube-scheduler-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-5bab8a1d6a695397245a6a12a9a94c554600f40a
SPDXRef-Package-k8sgcriokube-scheduler-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-3199a555f059ca95c0e209410898820422179921
SPDXRef-Package-k8sgcriokube-scheduler-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-9687debfd4c966c8621a3c000e839ab1e80b5f9a
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-scheduler-s390xv1220-alpha3
SPDXRef-Package-k8sgcriokube-apiserver-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-f0c989f49824736ab3a67cb1b96b6a94b32b33ef
SPDXRef-Package-k8sgcriokube-apiserver-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-5bab8a1d6a695397245a6a12a9a94c554600f40a
SPDXRef-Package-k8sgcriokube-apiserver-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-3199a555f059ca95c0e209410898820422179921
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcriokube-apiserver-s390xv1220-alpha3
SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-279ce0cfdb677621fbcf52a8e7c201d57604fe8a
SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-56d20aac491bf88a6a10504822cdeba948a1b3bc
SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-751d5a9acba859514d5bc9225fe8d9dfc1a5b506
SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-4cb68d682b3495d96d75bc522a132b8a99c4ab23
SPDXRef-Package-k8sgcriokube-proxy-amd64v1220-alpha3,CONTAINS,SPDXRef-Package-41dda2523fd0ba6469e19d360434742fbb5b205b
