NAME                                                                         VERSION                                            TYPE      
liblzma5                                                                     5.2.5-2.1~deb11u1                                  deb        
libmnl0                                                                      1.0.4-3                                            deb        
libnetfilter-conntrack3                                                      1.0.8-3                                            deb        
libnfnetlink0                                                                1.0.1-3+b1                                         deb        
libnftnl11                                                                   1.1.9-1                                            deb        
libpcre3                                                                     2:8.39-13                                          deb        
libssl1.1                                                                    1.1.1n-0+deb11u5                                   deb        
libxtables12                                                                 1.8.7-1                                            deb        
lsb-base                                                                     11.1.0                                             deb        
netbase                                                                      6.3                                                deb        
openssl                                                                      1.1.1n-0+deb11u5                                   deb        
sigs.k8s.io/apiserver-network-proxy/konnectivity-client                      v0.1.2                                             go-module  
sigs.k8s.io/json                                                             v0.0.0-20221116044647-bc3834ca7abd                 go-module  
sigs.k8s.io/structured-merge-diff/v4                                         v4.2.3                                             go-module  
sigs.k8s.io/yaml                                                             v1.3.0                                             go-module  
stdlib                                                                       go1.20.6                                           go-module  
tzdata                                                                       2021a-1+deb11u10                                   deb
