RelationshipType,Source,Target
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-client-darwin-amd64-kubernetes-client-bin-kubectl-convert
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-server-linux-arm64-kubernetes-server-bin-kubectl-convert
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-server-linux-s390x-kubernetes-server-bin-apiextensions-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-tars-kubernetes-client-darwin-arm64.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-tars-kubernetes-server-linux-ppc64le.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-tars-kubernetes-src.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-server-linux-arm64-kubernetes-server-bin-kube-aggregator
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-scheduler
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-server-linux-s390x-kubernetes-server-bin-kubeadm
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-node-windows-amd64-kubernetes-node-bin-kubectl-convert.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-stage-node-windows-amd64-kubernetes-node-bin-kubelet.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.27.0-beta.0-release-tars-kubernetes-client-darwin-amd64.tar.gz
SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0-sha256-f1e5859e2f1525569076866ff773e5eedbb83941ebf919fe13a7ce1f05fd83ee
SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0-sha256-7f0b699cd89927c398ea5d4d5e35b8c5884853c96e9a8be390abd5da1b5e4622
SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0-sha256-2bc604f6794ec29bff502d0c3b3fc3bb76b3456938e01653df94abfb2d142a44
SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0,GENERATED_FROM,DocumentRef-kubernetes-v1.27.0-beta.0:SPDXRef-Package-kubernetes
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-registry.k8s.io-kube-apiserver-arm64-v1.27.0-beta.0
SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.27.0-beta.0-sha256-33406c91550e5eecd1a437bb187a52afb7de43350c2e12c035831ec882a44c4b
SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.27.0-beta.0,CONTAINS,SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.27.0-beta.0-sha256-21fe9afb058c334c4c2cda21024b45998775ede2ba1951fc5e7e1d8f864e1aa4
SPDXRef-Package-registry.k8s.io-kube-proxy-ppc64le-v1.27.0-beta.0,GENERATED_FROM,DocumentRef-kubernetes-v1.27.0-beta.0:SPDXRef-Package-kubernetes
