dependencyName-Version,dependencyName,dependencyVersion,SPDXID
github.com/google/gofuzz-v0.0.0-20170612174753-24818f796faf,github.com/google/gofuzz,v0.0.0-20170612174753-24818f796faf,"SPDXRef-Package-gomod-github.com-google-gofuzz-v0.0.0-20170612174753-24818f796faf
"
k8s.io/sample-apiserver-v0.0.0,k8s.io/sample-apiserver,v0.0.0,"SPDXRef-Package-gomod-k8s.io-sample-apiserver-v0.0.0
"
github.com/cloudflare/cfssl-v0.0.0-20180726162950-56268a613adf,github.com/cloudflare/cfssl,v0.0.0-20180726162950-56268a613adf,"SPDXRef-Package-gomod-github.com-cloudflare-cfssl-v0.0.0-20180726162950-56268a613adf
"
go.uber.org/multierr-v0.0.0-20180122172545-ddea229ff1df,go.uber.org/multierr,v0.0.0-20180122172545-ddea229ff1df,"SPDXRef-Package-gomod-go.uber.org-multierr-v0.0.0-20180122172545-ddea229ff1df
"
golang.org/x/text-v0.3.1-0.20181227161524-e6919f6577db,golang.org/x/text,v0.3.1-0.20181227161524-e6919f6577db,"SPDXRef-Package-gomod-golang.org-x-text-v0.3.1-0.20181227161524-e6919f6577db
"
github.com/aws/aws-sdk-go-v1.16.26,github.com/aws/aws-sdk-go,v1.16.26,"SPDXRef-Package-gomod-github.com-aws-aws-sdk-go-v1.16.26
"
github.com/go-openapi/validate-v0.18.0,github.com/go-openapi/validate,v0.18.0,"SPDXRef-Package-gomod-github.com-go-openapi-validate-v0.18.0
"
github.com/godbus/dbus-v0.0.0-20151105175453-c7fdd8b5cd55,github.com/godbus/dbus,v0.0.0-20151105175453-c7fdd8b5cd55,"SPDXRef-Package-gomod-github.com-godbus-dbus-v0.0.0-20151105175453-c7fdd8b5cd55
"
github.com/heketi/heketi-v0.0.0-20181109135656-558b29266ce0,github.com/heketi/heketi,v0.0.0-20181109135656-558b29266ce0,"SPDXRef-Package-gomod-github.com-heketi-heketi-v0.0.0-20181109135656-558b29266ce0
"
golang.org/x/tools-v0.0.0-20190328211700-ab21143f2384,golang.org/x/tools,v0.0.0-20190328211700-ab21143f2384,"SPDXRef-Package-gomod-golang.org-x-tools-v0.0.0-20190328211700-ab21143f2384
"
github.com/containerd/containerd-v1.0.2,github.com/containerd/containerd,v1.0.2,"SPDXRef-Package-gomod-github.com-containerd-containerd-v1.0.2
"
github.com/spf13/jwalterweatherman-v0.0.0-20160311093646-33c24e77fb80,github.com/spf13/jwalterweatherman,v0.0.0-20160311093646-33c24e77fb80,"SPDXRef-Package-gomod-github.com-spf13-jwalterweatherman-v0.0.0-20160311093646-33c24e77fb80
"
github.com/gorilla/websocket-v0.0.0-20170926233335-4201258b820c,github.com/gorilla/websocket,v0.0.0-20170926233335-4201258b820c,"SPDXRef-Package-gomod-github.com-gorilla-websocket-v0.0.0-20170926233335-4201258b820c
"
github.com/shurcooL/sanitized_anchor_name-v0.0.0-20151028001915-10ef21a441db,github.com/shurcooL/sanitized_anchor_name,v0.0.0-20151028001915-10ef21a441db,"SPDXRef-Package-gomod-github.com-shurcooL-sanitizedC95anchorC95name-v0.0.0-20151028001915-10ef21a441db
"
github.com/container-storage-interface/spec-v1.1.0,github.com/container-storage-interface/spec,v1.1.0,"SPDXRef-Package-gomod-github.com-container-storage-interface-spec-v1.1.0
"
github.com/stretchr/objx-v0.1.1,github.com/stretchr/objx,v0.1.1,"SPDXRef-Package-gomod-github.com-stretchr-objx-v0.1.1
"
github.com/go-openapi/loads-v0.17.2,github.com/go-openapi/loads,v0.17.2,"SPDXRef-Package-gomod-github.com-go-openapi-loads-v0.17.2
"
github.com/robfig/cron-v0.0.0-20170309132418-df38d32658d8,github.com/robfig/cron,v0.0.0-20170309132418-df38d32658d8,"SPDXRef-Package-gomod-github.com-robfig-cron-v0.0.0-20170309132418-df38d32658d8
"
github.com/tmc/grpc-websocket-proxy-v0.0.0-20170815181823-89b8d40f7ca8,github.com/tmc/grpc-websocket-proxy,v0.0.0-20170815181823-89b8d40f7ca8,"SPDXRef-Package-gomod-github.com-tmc-grpc-websocket-proxy-v0.0.0-20170815181823-89b8d40f7ca8
"
github.com/clusterhq/flocker-go-v0.0.0-20160920122132-2b8b7259d313,github.com/clusterhq/flocker-go,v0.0.0-20160920122132-2b8b7259d313,"SPDXRef-Package-gomod-github.com-clusterhq-flocker-go-v0.0.0-20160920122132-2b8b7259d313
"
github.com/euank/go-kmsg-parser-v2.0.0,github.com/euank/go-kmsg-parser,v2.0.0,"SPDXRef-Package-gomod-github.com-euank-go-kmsg-parser-v2.0.0C43incompatible
"
github.com/go-openapi/jsonpointer-v0.19.0,github.com/go-openapi/jsonpointer,v0.19.0,"SPDXRef-Package-gomod-github.com-go-openapi-jsonpointer-v0.19.0
"
github.com/grpc-ecosystem/go-grpc-middleware-v0.0.0-20190222133341-cfaf5686ec79,github.com/grpc-ecosystem/go-grpc-middleware,v0.0.0-20190222133341-cfaf5686ec79,"SPDXRef-Package-gomod-github.com-grpc-ecosystem-go-grpc-middleware-v0.0.0-20190222133341-cfaf5686ec79
"
k8s.io/metrics-v0.0.0,k8s.io/metrics,v0.0.0,"SPDXRef-Package-gomod-k8s.io-metrics-v0.0.0
"
github.com/sirupsen/logrus-v1.2.0,github.com/sirupsen/logrus,v1.2.0,"SPDXRef-Package-gomod-github.com-sirupsen-logrus-v1.2.0
"
github.com/gophercloud/gophercloud-v0.0.0-20190126172459-c818fa66e4c8,github.com/gophercloud/gophercloud,v0.0.0-20190126172459-c818fa66e4c8,"SPDXRef-Package-gomod-github.com-gophercloud-gophercloud-v0.0.0-20190126172459-c818fa66e4c8
"
github.com/fatih/camelcase-v0.0.0-20160318181535-f6a740d52f96,github.com/fatih/camelcase,v0.0.0-20160318181535-f6a740d52f96,"SPDXRef-Package-gomod-github.com-fatih-camelcase-v0.0.0-20160318181535-f6a740d52f96
"
github.com/prometheus/client_model-v0.0.0-20180712105110-5c3871d89910,github.com/prometheus/client_model,v0.0.0-20180712105110-5c3871d89910,"SPDXRef-Package-gomod-github.com-prometheus-clientC95model-v0.0.0-20180712105110-5c3871d89910
"
github.com/fsnotify/fsnotify-v1.4.7,github.com/fsnotify/fsnotify,v1.4.7,"SPDXRef-Package-gomod-github.com-fsnotify-fsnotify-v1.4.7
"
github.com/blang/semver-v3.5.0,github.com/blang/semver,v3.5.0,"SPDXRef-Package-gomod-github.com-blang-semver-v3.5.0C43incompatible
"
github.com/docker/libnetwork-v0.0.0-20180830151422-a9cd636e3789,github.com/docker/libnetwork,v0.0.0-20180830151422-a9cd636e3789,"SPDXRef-Package-gomod-github.com-docker-libnetwork-v0.0.0-20180830151422-a9cd636e3789
"
github.com/emicklei/go-restful-v0.0.0-20170410110728-ff4f55a20633,github.com/emicklei/go-restful,v0.0.0-20170410110728-ff4f55a20633,"SPDXRef-Package-gomod-github.com-emicklei-go-restful-v0.0.0-20170410110728-ff4f55a20633
"
github.com/storageos/go-api-v0.0.0-20180912212459-343b3eff91fc,github.com/storageos/go-api,v0.0.0-20180912212459-343b3eff91fc,"SPDXRef-Package-gomod-github.com-storageos-go-api-v0.0.0-20180912212459-343b3eff91fc
"
github.com/hpcloud/tail-v1.0.0,github.com/hpcloud/tail,v1.0.0,"SPDXRef-Package-gomod-github.com-hpcloud-tail-v1.0.0
"
github.com/ugorji/go-v0.0.0-20171019201919-bdcc60b419d1,github.com/ugorji/go,v0.0.0-20171019201919-bdcc60b419d1,"SPDXRef-Package-gomod-github.com-ugorji-go-v0.0.0-20171019201919-bdcc60b419d1
"
github.com/golang/protobuf-v1.2.0,github.com/golang/protobuf,v1.2.0,"SPDXRef-Package-gomod-github.com-golang-protobuf-v1.2.0
"
github.com/opencontainers/image-spec-v0.0.0-20170604055404-372ad780f634,github.com/opencontainers/image-spec,v0.0.0-20170604055404-372ad780f634,"SPDXRef-Package-gomod-github.com-opencontainers-image-spec-v0.0.0-20170604055404-372ad780f634
"
github.com/codedellemc/goscaleio-v0.0.0-20170830184815-20e2ce2cf885,github.com/codedellemc/goscaleio,v0.0.0-20170830184815-20e2ce2cf885,"SPDXRef-Package-gomod-github.com-codedellemc-goscaleio-v0.0.0-20170830184815-20e2ce2cf885
"
github.com/go-openapi/strfmt-v0.17.0,github.com/go-openapi/strfmt,v0.17.0,"SPDXRef-Package-gomod-github.com-go-openapi-strfmt-v0.17.0
"
github.com/cpuguy83/go-md2man-v1.0.4,github.com/cpuguy83/go-md2man,v1.0.4,"SPDXRef-Package-gomod-github.com-cpuguy83-go-md2man-v1.0.4
"
github.com/vmware/photon-controller-go-sdk-v0.0.0-20170310013346-4a435daef6cc,github.com/vmware/photon-controller-go-sdk,v0.0.0-20170310013346-4a435daef6cc,"SPDXRef-Package-gomod-github.com-vmware-photon-controller-go-sdk-v0.0.0-20170310013346-4a435daef6cc
"
k8s.io/cluster-bootstrap-v0.0.0,k8s.io/cluster-bootstrap,v0.0.0,"SPDXRef-Package-gomod-k8s.io-cluster-bootstrap-v0.0.0
"
sigs.k8s.io/structured-merge-diff-v0.0.0-20190302045857-e85c7b244fd2,sigs.k8s.io/structured-merge-diff,v0.0.0-20190302045857-e85c7b244fd2,"SPDXRef-Package-gomod-sigs.k8s.io-structured-merge-diff-v0.0.0-20190302045857-e85c7b244fd2
"
gopkg.in/yaml.v2-v2.2.1,gopkg.in/yaml.v2,v2.2.1,"SPDXRef-Package-gomod-gopkg.in-yaml.v2-v2.2.1
"
golang.org/x/time-v0.0.0-20161028155119-f51c12702a4d,golang.org/x/time,v0.0.0-20161028155119-f51c12702a4d,"SPDXRef-Package-gomod-golang.org-x-time-v0.0.0-20161028155119-f51c12702a4d
"
github.com/vishvananda/netlink-v0.0.0-20171020171820-b2de5d10e38e,github.com/vishvananda/netlink,v0.0.0-20171020171820-b2de5d10e38e,"SPDXRef-Package-gomod-github.com-vishvananda-netlink-v0.0.0-20171020171820-b2de5d10e38e
"
google.golang.org/grpc-v1.13.0,google.golang.org/grpc,v1.13.0,"SPDXRef-Package-gomod-google.golang.org-grpc-v1.13.0
"
github.com/google/certificate-transparency-go-v1.0.21,github.com/google/certificate-transparency-go,v1.0.21,"SPDXRef-Package-gomod-github.com-google-certificate-transparency-go-v1.0.21
"
github.com/json-iterator/go-v0.0.0-20180701071628-ab8a2e0c74be,github.com/json-iterator/go,v0.0.0-20180701071628-ab8a2e0c74be,"SPDXRef-Package-gomod-github.com-json-iterator-go-v0.0.0-20180701071628-ab8a2e0c74be
"
github.com/coreos/go-systemd-v0.0.0-20180511133405-39ca1b05acc7,github.com/coreos/go-systemd,v0.0.0-20180511133405-39ca1b05acc7,"SPDXRef-Package-gomod-github.com-coreos-go-systemd-v0.0.0-20180511133405-39ca1b05acc7
"
github.com/prometheus/common-v0.0.0-20181126121408-4724e9255275,github.com/prometheus/common,v0.0.0-20181126121408-4724e9255275,"SPDXRef-Package-gomod-github.com-prometheus-common-v0.0.0-20181126121408-4724e9255275
"
github.com/marstr/guid-v0.0.0-20170427235115-8bdf7d1a087c,github.com/marstr/guid,v0.0.0-20170427235115-8bdf7d1a087c,"SPDXRef-Package-gomod-github.com-marstr-guid-v0.0.0-20170427235115-8bdf7d1a087c
"
k8s.io/csi-translation-lib-v0.0.0,k8s.io/csi-translation-lib,v0.0.0,"SPDXRef-Package-gomod-k8s.io-csi-translation-lib-v0.0.0
"
github.com/munnerz/goautoneg-v0.0.0-20120707110453-a547fc61f48d,github.com/munnerz/goautoneg,v0.0.0-20120707110453-a547fc61f48d,"SPDXRef-Package-gomod-github.com-munnerz-goautoneg-v0.0.0-20120707110453-a547fc61f48d
"
github.com/russross/blackfriday-v0.0.0-20151117072312-300106c228d5,github.com/russross/blackfriday,v0.0.0-20151117072312-300106c228d5,"SPDXRef-Package-gomod-github.com-russross-blackfriday-v0.0.0-20151117072312-300106c228d5
"
github.com/ghodss/yaml-v0.0.0-20180820084758-c7ce16629ff4,github.com/ghodss/yaml,v0.0.0-20180820084758-c7ce16629ff4,"SPDXRef-Package-gomod-github.com-ghodss-yaml-v0.0.0-20180820084758-c7ce16629ff4
"
github.com/opencontainers/selinux-v0.0.0-20170621221121-4a2974bf1ee9,github.com/opencontainers/selinux,v0.0.0-20170621221121-4a2974bf1ee9,"SPDXRef-Package-gomod-github.com-opencontainers-selinux-v0.0.0-20170621221121-4a2974bf1ee9
"
github.com/hashicorp/hcl-v0.0.0-20160711231752-d8c773c4cba1,github.com/hashicorp/hcl,v0.0.0-20160711231752-d8c773c4cba1,"SPDXRef-Package-gomod-github.com-hashicorp-hcl-v0.0.0-20160711231752-d8c773c4cba1
"
github.com/kardianos/osext-v0.0.0-20150410034420-8fef92e41e22,github.com/kardianos/osext,v0.0.0-20150410034420-8fef92e41e22,"SPDXRef-Package-gomod-github.com-kardianos-osext-v0.0.0-20150410034420-8fef92e41e22
"
github.com/jonboulle/clockwork-v0.0.0-20141017032234-72f9bd7c4e0c,github.com/jonboulle/clockwork,v0.0.0-20141017032234-72f9bd7c4e0c,"SPDXRef-Package-gomod-github.com-jonboulle-clockwork-v0.0.0-20141017032234-72f9bd7c4e0c
"
k8s.io/cloud-provider-v0.0.0,k8s.io/cloud-provider,v0.0.0,"SPDXRef-Package-gomod-k8s.io-cloud-provider-v0.0.0
"
github.com/d2g/dhcp4client-v0.0.0-20170829104524-6e570ed0a266,github.com/d2g/dhcp4client,v0.0.0-20170829104524-6e570ed0a266,"SPDXRef-Package-gomod-github.com-d2g-dhcp4client-v0.0.0-20170829104524-6e570ed0a266
"
github.com/google/btree-v0.0.0-20160524151835-7d79101e329e,github.com/google/btree,v0.0.0-20160524151835-7d79101e329e,"SPDXRef-Package-gomod-github.com-google-btree-v0.0.0-20160524151835-7d79101e329e
"
github.com/beorn7/perks-v0.0.0-20180321164747-3a771d992973,github.com/beorn7/perks,v0.0.0-20180321164747-3a771d992973,"SPDXRef-Package-gomod-github.com-beorn7-perks-v0.0.0-20180321164747-3a771d992973
"
github.com/go-openapi/runtime-v0.17.2,github.com/go-openapi/runtime,v0.17.2,"SPDXRef-Package-gomod-github.com-go-openapi-runtime-v0.17.2
"
k8s.io/kube-scheduler-v0.0.0,k8s.io/kube-scheduler,v0.0.0,"SPDXRef-Package-gomod-k8s.io-kube-scheduler-v0.0.0
"
github.com/grpc-ecosystem/go-grpc-prometheus-v0.0.0-20170330212424-2500245aa611,github.com/grpc-ecosystem/go-grpc-prometheus,v0.0.0-20170330212424-2500245aa611,"SPDXRef-Package-gomod-github.com-grpc-ecosystem-go-grpc-prometheus-v0.0.0-20170330212424-2500245aa611
"
github.com/pkg/errors-v0.8.0,github.com/pkg/errors,v0.8.0,"SPDXRef-Package-gomod-github.com-pkg-errors-v0.8.0
"
github.com/dgrijalva/jwt-go-v0.0.0-20160705203006-01aeca54ebda,github.com/dgrijalva/jwt-go,v0.0.0-20160705203006-01aeca54ebda,"SPDXRef-Package-gomod-github.com-dgrijalva-jwt-go-v0.0.0-20160705203006-01aeca54ebda
"
github.com/morikuni/aec-v0.0.0-20170113033406-39771216ff4c,github.com/morikuni/aec,v0.0.0-20170113033406-39771216ff4c,"SPDXRef-Package-gomod-github.com-morikuni-aec-v0.0.0-20170113033406-39771216ff4c
"
gopkg.in/gcfg.v1-v1.2.0,gopkg.in/gcfg.v1,v1.2.0,"SPDXRef-Package-gomod-gopkg.in-gcfg.v1-v1.2.0
"
golang.org/x/crypto-v0.0.0-20181025213731-e84da0312774,golang.org/x/crypto,v0.0.0-20181025213731-e84da0312774,"SPDXRef-Package-gomod-golang.org-x-crypto-v0.0.0-20181025213731-e84da0312774
"
k8s.io/client-go-v0.0.0,k8s.io/client-go,v0.0.0,"SPDXRef-Package-gomod-k8s.io-client-go-v0.0.0
"
cloud.google.com/go-v0.34.0,cloud.google.com/go,v0.34.0,"SPDXRef-Package-gomod-cloud.google.com-go-v0.34.0
"
github.com/kr/fs-v0.0.0-20131111012553-2788f0dbd169,github.com/kr/fs,v0.0.0-20131111012553-2788f0dbd169,"SPDXRef-Package-gomod-github.com-kr-fs-v0.0.0-20131111012553-2788f0dbd169
"
go.uber.org/zap-v0.0.0-20180814183419-67bc79d13d15,go.uber.org/zap,v0.0.0-20180814183419-67bc79d13d15,"SPDXRef-Package-gomod-go.uber.org-zap-v0.0.0-20180814183419-67bc79d13d15
"
github.com/PuerkitoBio/purell-v1.1.0,github.com/PuerkitoBio/purell,v1.1.0,"SPDXRef-Package-gomod-github.com-PuerkitoBio-purell-v1.1.0
"
github.com/lithammer/dedent-v1.1.0,github.com/lithammer/dedent,v1.1.0,"SPDXRef-Package-gomod-github.com-lithammer-dedent-v1.1.0
"
github.com/go-openapi/analysis-v0.17.2,github.com/go-openapi/analysis,v0.17.2,"SPDXRef-Package-gomod-github.com-go-openapi-analysis-v0.17.2
"
github.com/golang/mock-v0.0.0-20160127222235-bd3c8e81be01,github.com/golang/mock,v0.0.0-20160127222235-bd3c8e81be01,"SPDXRef-Package-gomod-github.com-golang-mock-v0.0.0-20160127222235-bd3c8e81be01
"
github.com/quobyte/api-v0.1.2,github.com/quobyte/api,v0.1.2,"SPDXRef-Package-gomod-github.com-quobyte-api-v0.1.2
"
github.com/coreos/pkg-v0.0.0-20180108230652-97fdf19511ea,github.com/coreos/pkg,v0.0.0-20180108230652-97fdf19511ea,"SPDXRef-Package-gomod-github.com-coreos-pkg-v0.0.0-20180108230652-97fdf19511ea
"
k8s.io/kube-openapi-v0.0.0-20190228160746-b3a7cee44a30,k8s.io/kube-openapi,v0.0.0-20190228160746-b3a7cee44a30,"SPDXRef-Package-gomod-k8s.io-kube-openapi-v0.0.0-20190228160746-b3a7cee44a30
"
github.com/docker/spdystream-v0.0.0-20160310174837-449fdfce4d96,github.com/docker/spdystream,v0.0.0-20160310174837-449fdfce4d96,"SPDXRef-Package-gomod-github.com-docker-spdystream-v0.0.0-20160310174837-449fdfce4d96
"
github.com/google/uuid-v1.0.0,github.com/google/uuid,v1.0.0,"SPDXRef-Package-gomod-github.com-google-uuid-v1.0.0
"
github.com/PuerkitoBio/urlesc-v0.0.0-20170810143723-de5bf2ad4578,github.com/PuerkitoBio/urlesc,v0.0.0-20170810143723-de5bf2ad4578,"SPDXRef-Package-gomod-github.com-PuerkitoBio-urlesc-v0.0.0-20170810143723-de5bf2ad4578
"
sigs.k8s.io/yaml-v1.1.0,sigs.k8s.io/yaml,v1.1.0,"SPDXRef-Package-gomod-sigs.k8s.io-yaml-v1.1.0
"
github.com/mvdan/xurls-v0.0.0-20160110113200-1b768d7c393a,github.com/mvdan/xurls,v0.0.0-20160110113200-1b768d7c393a,"SPDXRef-Package-gomod-github.com-mvdan-xurls-v0.0.0-20160110113200-1b768d7c393a
"
golang.org/x/oauth2-v0.0.0-20190402181905-9f3314589c9a,golang.org/x/oauth2,v0.0.0-20190402181905-9f3314589c9a,"SPDXRef-Package-gomod-golang.org-x-oauth2-v0.0.0-20190402181905-9f3314589c9a
"
github.com/pmezard/go-difflib-v1.0.0,github.com/pmezard/go-difflib,v1.0.0,"SPDXRef-Package-gomod-github.com-pmezard-go-difflib-v1.0.0
"
github.com/grpc-ecosystem/grpc-gateway-v1.3.0,github.com/grpc-ecosystem/grpc-gateway,v1.3.0,"SPDXRef-Package-gomod-github.com-grpc-ecosystem-grpc-gateway-v1.3.0
"
